time,temp_location1,hum_location1,pm25_location1,aqi_location1
4/16/2021 12:00:00 AM,28.5,100,21.1,47
4/16/2021 1:00:00 AM,28.4,100,25.6,49
4/16/2021 2:00:00 AM,28.3,100,18,43
4/16/2021 3:00:00 AM,28.1,100,17.4,39
4/16/2021 4:00:00 AM,28,100,20.4,40
4/16/2021 5:00:00 AM,28.1,100,19,39
4/16/2021 6:00:00 AM,28.1,100,18.4,38
4/16/2021 7:00:00 AM,28.4,100,19.2,38
4/16/2021 8:00:00 AM,28.9,100,18,38
4/16/2021 9:00:00 AM,29.8,100,17.6,37
4/16/2021 10:00:00 AM,30.7,100,22.1,39
4/16/2021 11:00:00 AM,30.2,99.9,27.9,46
4/16/2021 12:00:00 PM,31.6,69.7,23.3,46
4/16/2021 1:00:00 PM,32.9,91.1,16.1,40
4/16/2021 2:00:00 PM,34.2,85.5,14.1,34
4/16/2021 3:00:00 PM,34.5,83,11.3,28
